"source_order","status","action","old_category","title","target_directory","candidate_slug","sidebar_position","wp_post_name","markdown_output","notes"
"1","publish","migrate","Oceanpayment产品与服务","Oceanpayment可以提供哪些支付产品？","docs/products-services/oceanpayment-products","available-payment-products","5","oceanpayment%e5%8f%af%e4%bb%a5%e6%8f%90%e4%be%9b%e5%93%aa%e4%ba%9b%e6%94%af%e4%bb%98%e4%ba%a7%e5%93%81%ef%bc%9f","migration/output/zh/custom/lsvr_kba/oceanpayment可以提供哪些支付产品？/index.md",""
"2","publish","review","","除国际信用卡，Oceanpayment支持哪些国家的本地支付产品？","","","","%e9%99%a4%e5%9b%bd%e9%99%85%e4%bf%a1%e7%94%a8%e5%8d%a1%ef%bc%8coceanpayment%e6%94%af%e6%8c%81%e5%93%aa%e4%ba%9b%e5%9b%bd%e5%ae%b6%e7%9a%84%e6%9c%ac%e5%9c%b0%e6%94%af%e4%bb%98%e4%ba%a7%e5%93%81","migration/output/zh/custom/lsvr_kba/除国际信用卡，oceanpayment支持哪些国家的本地支付产品/index.md","unmapped category"
"3","publish","migrate","Oceanpayment产品与服务","Oceanpayment是否支持Mobile端的支付？","docs/products-services/oceanpayment-products","support-mobile-payment","4","oceanpayment%e6%98%af%e5%90%a6%e6%94%af%e6%8c%81mobile%e7%ab%af%e7%9a%84%e6%94%af%e4%bb%98%ef%bc%9f","migration/output/zh/custom/lsvr_kba/oceanpayment是否支持mobile端的支付？/index.md",""
"4","publish","migrate","Oceanpayment产品与服务","Oceanpayment是否可以支持Shopify或其他建站平台？","docs/products-services/oceanpayment-products","support-shopify-or-other-platforms","3","oceanpayment%e6%98%af%e5%90%a6%e5%8f%af%e4%bb%a5%e6%94%af%e6%8c%81shopify%e6%88%96%e5%85%b6%e4%bb%96%e5%bb%ba%e7%ab%99%e5%b9%b3%e5%8f%b0%ef%bc%9f","migration/output/zh/custom/lsvr_kba/oceanpayment是否可以支持shopify或其他建站平台？/index.md",""
"5","publish","migrate","Oceanpayment产品与服务","如需开通新的支付方式，如何获取产品价格进行开通？","docs/products-services/oceanpayment-products","activate-new-payment-method-pricing","2","%e5%a6%82%e9%9c%80%e5%bc%80%e9%80%9a%e6%96%b0%e7%9a%84%e6%94%af%e4%bb%98%e6%96%b9%e5%bc%8f%ef%bc%8c%e5%a6%82%e4%bd%95%e8%8e%b7%e5%8f%96%e4%ba%a7%e5%93%81%e4%bb%b7%e6%a0%bc%e8%bf%9b%e8%a1%8c%e5%bc%80","migration/output/zh/custom/lsvr_kba/如需开通新的支付方式，如何获取产品价格进行开/index.md",""
"6","publish","review","","换了新的网站域名进行推广，是否需要重新申请通道？","","","","%e6%8d%a2%e4%ba%86%e6%96%b0%e7%9a%84%e7%bd%91%e7%ab%99%e5%9f%9f%e5%90%8d%e8%bf%9b%e8%a1%8c%e6%8e%a8%e5%b9%bf%ef%bc%8c%e6%98%af%e5%90%a6%e9%9c%80%e8%a6%81%e9%87%8d%e6%96%b0%e7%94%b3%e8%af%b7%e9%80%9a","migration/output/zh/custom/lsvr_kba/换了新的网站域名进行推广，是否需要重新申请通/index.md","unmapped category"
"7","publish","migrate","账户划款、提现、代付指引","如何掌握账户资金动态并进行对账？","docs/payment-faq/account-transfer","account-funds-and-reconciliation","3","%e5%a6%82%e4%bd%95%e6%8e%8c%e6%8f%a1%e8%b4%a6%e6%88%b7%e8%b5%84%e9%87%91%e5%8a%a8%e6%80%81%e5%b9%b6%e8%bf%9b%e8%a1%8c%e5%af%b9%e8%b4%a6%ef%bc%9f","migration/output/zh/custom/lsvr_kba/如何掌握账户资金动态并进行对账？/index.md",""
"8","publish","migrate","账户划款、提现、代付指引","成功交易资金如何进行结算？","docs/payment-faq/account-transfer","successful-transaction-settlement","2","%e6%88%90%e5%8a%9f%e4%ba%a4%e6%98%93%e8%b5%84%e9%87%91%e5%a6%82%e4%bd%95%e8%bf%9b%e8%a1%8c%e7%bb%93%e7%ae%97%ef%bc%9f","migration/output/zh/custom/lsvr_kba/成功交易资金如何进行结算？/index.md",""
"9","publish","migrate","Payment收单常见问题","Oceanpayment可以支持哪些结算币种？","docs/payment-faq/common-questions","supported-settlement-currencies","22","oceanpayment%e5%8f%af%e4%bb%a5%e6%94%af%e6%8c%81%e5%93%aa%e4%ba%9b%e7%bb%93%e7%ae%97%e5%b8%81%e7%a7%8d%ef%bc%9f","migration/output/zh/custom/lsvr_kba/oceanpayment可以支持哪些结算币种？/index.md",""
"10","publish","migrate","客户服务常见问题","Oceanpayment的账户后台，支持多账户登陆吗？","docs/customer-service/customer-service-faq","multiple-account-logins","3","oceanpayment%e7%9a%84%e8%b4%a6%e6%88%b7%e5%90%8e%e5%8f%b0%ef%bc%8c%e6%94%af%e6%8c%81%e5%a4%9a%e8%b4%a6%e6%88%b7%e7%99%bb%e9%99%86%e5%90%97%ef%bc%9f","migration/output/zh/custom/lsvr_kba/oceanpayment的账户后台，支持多账户登陆吗？/index.md",""
"11","publish","migrate","客户服务常见问题","忘了Oceanpayment账户后台登陆密码，该如何重置密码？","docs/customer-service/customer-service-faq","reset-oceanpayment-dashboard-password","2","%e5%bf%98%e4%ba%86oceanpayment%e8%b4%a6%e6%88%b7%e5%90%8e%e5%8f%b0%e7%99%bb%e9%99%86%e5%af%86%e7%a0%81%ef%bc%8c%e8%af%a5%e5%a6%82%e4%bd%95%e9%87%8d%e7%bd%ae%e5%af%86%e7%a0%81%ef%bc%9f","migration/output/zh/custom/lsvr_kba/忘了oceanpayment账户后台登陆密码，该如何重置密码？/index.md",""
"12","private","skip","","如何操作退款？是否可以取消退款申请？","","","","%e5%a6%82%e4%bd%95%e6%93%8d%e4%bd%9c%e9%80%80%e6%ac%be%ef%bc%9f%e6%98%af%e5%90%a6%e5%8f%af%e4%bb%a5%e5%8f%96%e6%b6%88%e9%80%80%e6%ac%be%e7%94%b3%e8%af%b7%ef%bc%9f","migration/output/zh/custom/lsvr_kba/如何操作退款？是否可以取消退款申请？/index.md","unmapped category; status=private"
"13","publish","migrate","Payment收单常见问题","订单被风控拦截显示10000：Payment is declined，该如何处理？","docs/payment-faq/common-questions","payment-declined-10000-risk-control","21","%e8%ae%a2%e5%8d%95%e8%a2%ab%e9%a3%8e%e6%8e%a7%e6%8b%a6%e6%88%aa%e6%98%be%e7%a4%ba10000%ef%bc%9apayment-is-declined%ef%bc%8c%e8%af%a5%e5%a6%82%e4%bd%95%e5%a4%84%e7%90%86%ef%bc%9f","migration/output/zh/custom/lsvr_kba/订单被风控拦截显示10000：payment-is-declined，该如何处理？/index.md",""
"14","publish","migrate","Payment收单常见问题","有风险的成功交易应该怎么处理？","docs/payment-faq/common-questions","risky-successful-transaction-handling","20","%e6%9c%89%e9%a3%8e%e9%99%a9%e7%9a%84%e6%88%90%e5%8a%9f%e4%ba%a4%e6%98%93%e5%ba%94%e8%af%a5%e6%80%8e%e4%b9%88%e5%a4%84%e7%90%86","migration/output/zh/custom/lsvr_kba/有风险的成功交易应该怎么处理/index.md",""
"15","publish","migrate","Payment收单常见问题","Oceanpayment信用卡通道支持哪些币种？","docs/payment-faq/common-questions","credit-card-channel-supported-currencies","19","oceanpayment%e4%bf%a1%e7%94%a8%e5%8d%a1%e9%80%9a%e9%81%93%e6%94%af%e6%8c%81%e5%93%aa%e4%ba%9b%e5%b8%81%e7%a7%8d%ef%bc%9f","migration/output/zh/custom/lsvr_kba/oceanpayment信用卡通道支持哪些币种？/index.md",""
"16","draft","skip","","Klarna的争议处理费收取规则是怎样的","","","","","migration/output/zh/custom/lsvr_kba/_drafts/id-346/index.md","unmapped category; status=draft"
"17","private","skip","准入与合规管理","Oceanpayment——禁止接入行业分享","docs/compliance-certification/access-compliance","oceanpayment","","oceanpayment-%e7%a6%81%e6%ad%a2%e6%8e%a5%e5%85%a5%e8%a1%8c%e4%b8%9a%e5%88%86%e4%ba%ab","migration/output/zh/custom/lsvr_kba/oceanpayment-禁止接入行业分享/index.md","status=private; sidebar position pending screenshot/order review"
"18","draft","skip","","Oceanpayment——了解相关业务","","","","oceanpayment-%e4%ba%86%e8%a7%a3%e7%9b%b8%e5%85%b3%e4%b8%9a%e5%8a%a1","migration/output/zh/custom/lsvr_kba/_drafts/oceanpayment-了解相关业务/index.md","unmapped category; status=draft"
"19","draft","skip","","","","","","","","unmapped category; status=draft; markdown output not found by title"
"20","draft","skip","","111","","","","","migration/output/zh/custom/lsvr_kba/_drafts/id-1079/index.md","unmapped category; status=draft"
