source_order,old_category,old_category_order,title,action,target_directory,target_slug,sidebar_position,source_slug,markdown_output,target_path,source_found,notes
1,Account Login FAQs,1,ODPM Digital Platform Guideline,skip-review,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide,digital-platform-guidelines-manual,,odpm-digital-platform-guideline,migration/output/en/custom/lsvr_kba/odpm-digital-platform-guideline/index.md,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/digital-platform-guidelines-manual/index.mdx,yes,ODPM manual content. English ODPM section already has this migrated; do not duplicate.
2,Account Login FAQs,2,Does ODPM support multiple account logins?,migrate,i18n/en/docusaurus-plugin-content-docs/current/customer-service/customer-service-faq,multiple-account-logins,1,does-odpm-support-multiple-account-logins,migration/output/en/custom/lsvr_kba/does-odpm-support-multiple-account-logins/index.md,i18n/en/docusaurus-plugin-content-docs/current/customer-service/customer-service-faq/multiple-account-logins/index.mdx,yes,Customer service login FAQ.
3,Account Login FAQs,3,"I forgot my ODPM login password, how do I reset it?",migrate,i18n/en/docusaurus-plugin-content-docs/current/customer-service/customer-service-faq,reset-oceanpayment-dashboard-password,2,i-forgot-my-odpm-login-password-how-do-i-reset-it,migration/output/en/custom/lsvr_kba/i-forgot-my-odpm-login-password-how-do-i-reset-it/index.md,i18n/en/docusaurus-plugin-content-docs/current/customer-service/customer-service-faq/reset-oceanpayment-dashboard-password/index.mdx,yes,Customer service login FAQ.
4,Credit Card Acquiring FAQs,1,Visa and MasterCard Refund Processing Rules Update,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,visa-mastercard-refund-rules-update,1,visa-and-mastercard-refund-processing-rules-update,migration/output/en/custom/lsvr_kba/visa-and-mastercard-refund-processing-rules-update/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/visa-mastercard-refund-rules-update/index.mdx,yes,Matches migrated Chinese payment FAQ.
5,Credit Card Acquiring FAQs,2,Merchant Batch Representment Submission Guide,skip-review,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide,,,merchant-batch-representment-submission-guide,migration/output/en/custom/lsvr_kba/merchant-batch-representment-submission-guide/index.md,,yes,ODPM/representment operation attachment. Review against existing migrated ODPM manuals before adding.
6,Credit Card Acquiring FAQs,3,How to reduce the incidence of fraudulent and chargeback transactions?,review,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,reduce-fraudulent-chargeback-transactions,,how-to-reduce-the-incidence-of-fraudulent-and-chargeback-transactions,migration/output/en/custom/lsvr_kba/how-to-reduce-the-incidence-of-fraudulent-and-chargeback-transactions/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/reduce-fraudulent-chargeback-transactions/index.mdx,yes,"English screenshot includes it, but the Chinese counterpart was excluded from this migration because it was not in the confirmed Chinese screenshots."
7,Credit Card Acquiring FAQs,4,How to add a blacklist or whitelist in ODPM?,skip-review,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide,blacklist-operation-manual; whitelist-operation-manual,,how-to-add-a-blacklist-or-whitelist-in-odpm,migration/output/en/custom/lsvr_kba/how-to-add-a-blacklist-or-whitelist-in-odpm/index.md,,yes,ODPM blacklist/whitelist manuals already exist in the migrated English ODPM section.
8,Credit Card Acquiring FAQs,5,What should I do with a risky and successful deal?,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,risky-successful-transaction-handling,3,what-should-i-do-with-a-risky-and-successful-deal,migration/output/en/custom/lsvr_kba/what-should-i-do-with-a-risky-and-successful-deal/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/risky-successful-transaction-handling/index.mdx,yes,Matches migrated Chinese payment FAQ.
9,Credit Card Acquiring FAQs,6,"The order is intercepted by the risk control to show 10000: Payment is declined, how to deal with it?",migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,payment-declined-10000-risk-control,4,the-order-is-intercepted-by-the-risk-control-to-show-10000-payment-is-declined-how-to-deal-with-it,migration/output/en/custom/lsvr_kba/the-order-is-intercepted-by-the-risk-control-to-show-10000-payment-is-declined-how-to-deal-with-it/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/payment-declined-10000-risk-control/index.mdx,yes,Matches migrated Chinese payment FAQ.
10,Credit Card Acquiring FAQs,7,What currencies are supported by Oceanpayment credit card channel?,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,credit-card-channel-supported-currencies,5,what-currencies-are-supported-by-oceanpayment-credit-card-channel,migration/output/en/custom/lsvr_kba/what-currencies-are-supported-by-oceanpayment-credit-card-channel/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/credit-card-channel-supported-currencies/index.mdx,yes,Matches migrated Chinese payment FAQ.
