"index","oldCategory","oldTitle","attachmentTitle","currentDoc","docLine","oldUrl","localBackup","reviewCopy","size"
"1","企业认证常见问题1","企业认证资料说明","IAM-Oceanpayment香港公司企业认证资料要求","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/V2_附件1-IAM__-__Oceanpayment__香港公司企业认证资料要求-20250417.pdf","static/files/help-center/wordpress-attachments/enterprise-certification-materials/attachment-01-6.pdf","migration/review/attachments/01 - 企业认证常见问题1 - 企业认证资料说明 - IAM-Oceanpayment香港公司企业认证资料要求.pdf","303254"
"2","企业认证常见问题1","企业认证资料说明","IAM-Oceanpayment大陆公司企业认证资料要求","docs/compliance-certification/enterprise-certification-faq/enterprise-certification-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/06/OPCard_企业认证资料清单_大陆公司-20260609.pdf","static/files/help-center/wordpress-attachments/enterprise-certification-materials/attachment-02-8.pdf","migration/review/attachments/02 - 企业认证常见问题1 - 企业认证资料说明 - IAM-Oceanpayment大陆公司企业认证资料要求.pdf","413525"
"3","客户服务常见问题","Oceanpayment的账户后台，支持多账户登陆吗？","Oceanpayment ODPM-子账户配置指引","docs/customer-service/customer-service-faq/multiple-account-logins/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment-ODPM-子账户配置指引.pdf","static/files/help-center/wordpress-attachments/multiple-account-logins/attachment-03-6.pdf","migration/review/attachments/03 - 客户服务常见问题 - Oceanpayment的账户后台，支持多账户登陆吗？ - Oceanpayment ODPM-子账户配置指引.pdf","993206"
"4","OP Card常见问题","IAM申请OPCCOUNT全球账户业务操作手册","IAM申请OPCCOUNT全球账户业务操作手册","docs/op-card-faq/common-questions/iam-opccount-global-account-application-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2026/04/IAM申请OPCCOUNT全球账户业务操作手册-2026年4月20日.pdf","static/files/help-center/wordpress-attachments/iam-opccount-global-account-application-guide/attachment-04-6.pdf","migration/review/attachments/04 - OP Card常见问题 - IAM申请OPCCOUNT全球账户业务操作手册 - IAM申请OPCCOUNT全球账户业务操作手册.pdf","953882"
"5","OP Card常见问题","OP Card业务申请资料说明","IAM-Oceanpayment Card香港公司发卡实业行业申请资料要求","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/附件2-IAM__-__Oceanpayment__Card香港公司发卡业务申请资料要求-20250417.pdf","static/files/help-center/wordpress-attachments/op-card-application-materials/attachment-05-6.pdf","migration/review/attachments/05 - OP Card常见问题 - OP Card业务申请资料说明 - IAM-Oceanpayment Card香港公司发卡实业行业申请资料要求.pdf","433370"
"6","OP Card常见问题","OP Card业务申请资料说明","IAM-Oceanpayment Card香港公司发卡广告业务申请资料要求","docs/op-card-faq/common-questions/op-card-application-materials/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2026/04/OPCard_发卡业务申请资料清单_（广告业务）-20250603.pdf","static/files/help-center/wordpress-attachments/op-card-application-materials/attachment-06-8.pdf","migration/review/attachments/06 - OP Card常见问题 - OP Card业务申请资料说明 - IAM-Oceanpayment Card香港公司发卡广告业务申请资料要求.pdf","456085"
"7","OP Card常见问题","OP Card禁入行业清单","禁入行业清单","docs/op-card-faq/common-questions/op-card-prohibited-industries/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/禁入行业清单-20250423.pdf","static/files/help-center/wordpress-attachments/op-card-prohibited-industries/attachment-07-6.pdf","migration/review/attachments/07 - OP Card常见问题 - OP Card禁入行业清单 - 禁入行业清单.pdf","1335943"
"8","OP Card常见问题","OPCard操作教程","ODPM OP Card Oceanpayment 操作指引手册2025-8-5","docs/op-card-faq/common-questions/opcard-operation-guide/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/06/ODPM-OP-Card-Oceanpayment-操作指引手册2025-8-5.pdf","static/files/help-center/wordpress-attachments/opcard-operation-guide/attachment-08-6.pdf","migration/review/attachments/08 - OP Card常见问题 - OPCard操作教程 - ODPM OP Card Oceanpayment 操作指引手册2025-8-5.pdf","3700676"
"9","OP Card条款和条件","Terms and Conditions条款","Oceanpayment 卡条款和条件_20251128163241(1)","docs/op-card-faq/terms-conditions/terms-and-conditions/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/11/Oceanpayment-卡条款和条件_202511281632411.pdf","static/files/help-center/wordpress-attachments/terms-and-conditions/attachment-09-6.pdf","migration/review/attachments/09 - OP Card条款和条件 - Terms and Conditions条款 - Oceanpayment 卡条款和条件_20251128163241(1).pdf","186400"
"10","账户划款、提现、代付指引","如何掌握账户资金动态并进行对账？","Oceanpayment对账说明","docs/payment-faq/account-transfer/account-funds-and-reconciliation/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2021/11/Oceanpayment对账说明-1.pdf","static/files/help-center/wordpress-attachments/account-funds-and-reconciliation/attachment-10-6.pdf","migration/review/attachments/10 - 账户划款、提现、代付指引 - 如何掌握账户资金动态并进行对账？ - Oceanpayment对账说明.pdf","2291481"
